priority,lane,target,contact,source_url,status,sent_before,next_step,message_angle,notes
P1,Business support,Business and IP Centre Liverpool,bipc@liverpool.gov.uk,https://liverpool.gov.uk/bipc,sent,yes,Wait for reply then follow up in 5-7 days,"Use databases for competitor, press and parent-market research","Sent 2026-05-15. Safe/free route. Ask for costs in writing before accepting any referred paid adviser."
P0,Women founders,Barclays Eagle Labs Female Founder Accelerator,application,https://www.nibusinessinfo.co.uk/content/eagle-labs-female-founder-accelerator,application_pack_ready,no,Apply before 2026-06-12 after final terms review,"Free 9-week programme for UK female tech founders with MVP and user feedback","Strong fit. Requires 3 hours weekly. Do not submit if final terms add equity, fees, repayment or broad IP/marketing rights."
P0,Women founders,AccelerateHER,info@accelerateher.co.uk,https://accelerateher.co.uk/,sent,yes,Wait for reply then use answer to complete Barclays application safely,"Female founder visibility, mentorship and backing","Sent 2026-05-15. Asked them to confirm no fee, equity, repayment, commission or IP capture."
P1,Women founders,NatWest Accelerator,web/app signup,https://www.natwest.com/business/business-services/entrepreneur-accelerator.html,action_needed,no,Join free Accelerator app/community,"Free founder community, coaching, funding tools and hubs","No equity noted; useful low-cost support."
P1,Women founders,Female Founders Rise,membership,https://femalefoundersrise.com/membership,action_needed,no,Join free content/newsletter and assess paid community later,"UK female founder network and funding support","Check cost before committing from GBP 500/month budget."
P1,Women founders,Hatch Enterprise,application,https://hatchenterprise.org/,action_needed,no,Check current open programme and apply if eligible,"Underrepresented founder support; high proportion of women and ethnic minority founders","Good support lane, not baby-specific."
P1,Women founders,CatalyseHer UK,application or waitlist,https://catalyseher.inco-group.co/,monitor,no,Join waitlist or monitor next cohort,"Women-led UK business with social impact and potential microgrant support","Site references 2025. Check current cohort before spending time."
P1,Funding,Innovate UK Women in Innovation,next round,https://apply-for-innovation-funding.service.gov.uk/competition/2337/overview/3750b1cd-2080-4a1c-82c0-003fbaafdd2d,closed_prepare,no,Prepare evidence for next cycle,"Up to GBP 75k grant and business support when open","2025/26 round closed 2026-02-04. Funding counts as Minimal Financial Assistance."
P2,Funding,Baltic Ventures Accelerator 2026,mo@balticventures.uk,https://balticventures.uk/accelerator/,consider,no,Only apply if comfortable with ASA/equity and in-person commitment,"Liverpool tech accelerator, up to GBP 100k with initial GBP 25k ASA investment","Applications close 2026-05-29. Equity terms, not no-clawback grant."
P2,Funding,Liverpool City Region Seed Fund,application,https://growthplatform.org/liverpool-city-region-seed-fund/,later,no,Prepare pitch deck but do not rush,"Seed equity GBP 250k to GBP 2m for high-growth businesses","Later-stage than current founder-led sprint."
P2,Funding,LYVA Labs Pre-Seed Challenge Fund,enquiries@lyvalabs.com,https://lyvalabs.com/investment-fund,later,no,Ask only after consultancy route clarifies fit,"GBP 10k to GBP 250k investment for LCR health/life science, clean tech health or deep tech","Investment, not grant. Consumer health exclusion may make fit uncertain."
P2,Funding,Start Up Loans,application,https://www.business.gov.uk/support/funding-for-business/applying-for-start-up-loan/,last_resort,no,Use only if non-dilutive options and revenue plan justify debt,"Government-backed loan GBP 500 to GBP 25k with mentoring","Debt with credit check and repayment. Not a grant."
P0,Press,BBC Radio Merseyside,radio.merseyside@bbc.co.uk,https://media.info/radio/stations/bbc-radio-merseyside,draft_created,no,Pitch local mum founder story,"Wirral mum builds baby app after colic/reflux newborn nights","Radio-friendly human story. Offer live interview."
P0,Press,Wirral Globe,lmarles@wirral-globe.co.uk,https://www.einpresswire.com/world-media-directory/detail/28104,draft_created,no,Pitch local founder story,"Wirral mum on maternity leave builds baby tracker for exhausted parents","Contact sourced from media directory, not official site. Verify if possible before sending."
P0,Press,TheBusinessDesk North West,nwoffice@thebusinessdesk.com,https://www.thebusinessdesk.com/contact-us/,draft_created,no,Pitch regional business/female founder story,"North West mum founder building parenting tech on limited budget","Good for business angle more than parenting angle."
P1,Press,Prolific North,news@prolificnorth.co.uk,https://www.prolificnorth.co.uk/wp-content/uploads/2025/03/PN-25_Media-pack-v3.pdf,draft_created,no,Pitch Northern tech/female founder story,"Northern consumer tech app built by mum founder; family care and parent mental load angle","Use tech/startup framing."
P1,Press,TechBlast,contact page,https://techblast.co.uk/contact/,later,no,Use contact form after regional proof point,"Tech startup founder story or funding/accelerator milestone","Contact page does not clearly show editorial email in text."
P1,Press,BusinessCloud,contact/news route,https://businesscloud.co.uk/,later,no,Pitch once there is a milestone or funding/programme acceptance,"UK tech app with parent-support mission","Better after measurable growth or accelerator acceptance."
P1,Press,My Wirral / Liverpool Echo,liverpool.news@trinitymirror.com,https://www.liverpoolecho.co.uk/all-about/wirral,sent,yes,Wait for reply then follow up in 5-7 days,"Wirral mum built app during maternity leave after colic/reflux newborn nights","Contact sourced from user's Facebook screenshot. Sent feature pitch on 2026-05-15."
P1,Partnership,Wirral nurseries and childminders,manual list,to be built,action_needed,no,Build 25-name local list from council/Google,"Bubba Care handover can help trusted carers see routine notes","Use printed QR flyer and email only where appropriate."
P1,Partnership,Baby classes and mum groups,manual list,to be built,action_needed,no,Build 25-name list near Wirral and Liverpool,"Founder story plus free-core tracker for class parents","Best done founder-to-founder, not mass marketing."
P1,Creator,Worldwide TikTok mum creators with babies 0-12 months and 4k+ followers,see mum_creator_prospect_shortlist.csv,multiple sources,first_batch_sent,yes,Wait for replies and keep building worldwide TikTok shortlist,"Founding creator partnership: lifetime Premium plus up to GBP 100 all-in only if they post on their own TikTok","Twelve direct emails sent 2026-05-15. Going forward only contact creators willing to post on their own TikTok within budget. Delivered-only UGC is parked for later paid ad testing. No health/sleep guarantee claims."
